店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
おばん菜スタンド ふじな,050-5487-6555,,東京都,豊島区長崎,1-2-3,ウツギビル2F,,False
和食個室居酒屋 地鶏焼き 鳥利久 品川グランドセントラルタワー店,050-5486-1704,,東京都,港区港南,2-16-3,品川グランドセントラルタワーB1,,False
一喜,050-5493-7153,,東京都,羽村市小作台,1-13-3,中野ビル1F,,False
神保町 和食 雷門き介,050-5485-9332,,東京都,千代田区神田神保町,2-4,九段富士ビルB1,,False
和食と完全個室 日々喜‐ひびき 五反田西口店,050-5487-8487,,東京都,品川区西五反田,1-32-2,五反田ALCOVE1F,,False
日本酒原価酒場 元祖わら屋 上野御徒町店,050-5487-9232,,東京都,台東区上野,5-19-6,丸政ビル4F,,False
大手町 ワインの店 Looking Good,050-5493-6438,,東京都,千代田区大手町,1-9-2,大手町フィナンシャルシティグランキューブ1F,,False
海人（うみんちゅ） 田無店,050-5487-5180,,東京都,西東京市田無町,3-1-2,,,False
完全個室×有機野菜と創作和食居酒屋 今日の詩,050-5484-9950,,東京都,小金井市本町,6-13-18,,,False
花葵 本店,050-5486-8201,,東京都,中央区京橋,3-1-1,東京スクエアガーデンB1,,False
楽華日 大泉邸,050-5492-2392,,東京都,練馬区東大泉,4-26-18,サンパレス大泉B1,,False
和風肉ビストロ 空楽,050-5484-4771,,東京都,羽村市小作台,1-15-2,ベルベデール下田ビル2F,,False
蕎麦前 一心,03-5544-8951,,東京都,港区赤坂,2-6-22,デュオ・スカーラ赤坂2 1F,,False
旬の鮮魚と日本酒 作 ‐ザク‐ 新橋店,050-5494-7498,,東京都,港区新橋,2-2-6,小早川ビル1～5F,,False
アジアンビストロ Dai 赤坂【東京ガーデンテラス】,050-5485-3531,,東京都,千代田区紀尾井町,1-3,東京ガーデンテラス2F,,False
和心ダイニング 欒家,050-5484-5959,,東京都,羽村市小作台,1-11-6,NTKビル105,,False
和食 えん 汐留店,050-5484-1653,,東京都,港区東新橋,1-5-2,汐留シティセンター42F,,False
お多幸本店,050-5492-2962,,東京都,中央区日本橋,2-2-3,お多幸ビル,,False
やきとりさくらい,050-5492-7349,,東京都,狛江市和泉本町,1-2-6,,,False
個室空間 湯葉豆腐料理 月の宴 大崎西口駅前店,03-5487-6088,,東京都,品川区大崎,3-6-17,ニュー大崎ビル2F,,False
梅の花 大泉学園店,050-5484-5132,,東京都,練馬区東大泉,5-43-1,ゆめりあフェンテ4F,,False
旨唐揚げと居酒メシ ミライザカ 赤羽東口店,050-5492-3894,,東京都,北区赤羽,1-10-11,愛好堂ビルB1～3F,,False
目利きの銀次 調布南口駅前店,042-482-7888,,東京都,調布市布田,4-2-3,ガイア調布駅前ビル5F,,False
個室居酒屋 北海道 はなの舞 茅場町店,03-5566-1375,,東京都,中央区新川,1-2-14,ユニゾ新川一丁目ビル 1～2F,,False
まるま,050-5493-7172,,東京都,渋谷区笹塚,1-29-７,Fファーストビル2F,,False
九段下 ちゃらりちゃらり,050-5485-7689,,東京都,千代田区九段北,1-2-11,エイム東京九段ビルB1,,False
地鶏と網焼き 個室居酒屋 鶏進 水道橋駅前店,050-5492-4141,,東京都,千代田区神田三崎町,1-4-8,愛光舎ビル3F,,False
個室居酒屋 ゆと囲,050-5486-6157,,東京都,昭島市昭和町,2-7-4,石野ビル2F,,False
うまかもん酒場 かさ 拝島駅前店,050-5492-9512,,東京都,昭島市松原町,4-13-20,停車場ビル1F-101,,False
鳥元 三鷹コラル店,050-5493-6192,,東京都,三鷹市下連雀,3-35-1,三鷹コラル4F,,False
魚鮮水産 さかなや道場 巣鴨駅前店,050-5493-7390,,東京都,豊島区巣鴨,2-5-2,都ビルB1,,False
さくら,050-5484-0374,,東京都,千代田区鍛冶町,1-10-16,,,False
全席個室 楽蔵うたげ 有楽町駅前店,050-5484-2913,,東京都,千代田区有楽町,2-3-5,aune有楽町3F,,False
大衆食堂あまつ 大崎シンクパーク店,050-5484-6531,,東京都,品川区大崎,2-1-1,大崎ThinkParkTower2F,,False
白山CHUBO はっぴ 駅前店,050-5486-2427,,東京都,文京区白山,5-33-11,第7白鳳ビルB1,,False
青山酒場,050-5492-2920,,東京都,港区南青山,2-2-15,ウィン青山1F,,False
はな青,050-5485-3929,,東京都,中央区日本橋小舟町,9-3,日本橋相互ビル1F,,False
会津馬刺し 炭火焼鳥 門前仲町 彦酉,050-5484-3182,,東京都,江東区門前仲町,1-20-5,,,False
居楽屋白木屋 花小金井北口駅前店,042-462-8388,,東京都,小平市花小金井,1-9-18,花小金井第一ビル 2F,,False
海鮮居酒屋 はなの舞 一之江店,050-5484-2713,,東京都,江戸川区一之江,7-35-29,一富ビル2F,,False
夕焼け飯店 千歳烏山店,050-5486-3254,,東京都,世田谷区南烏山,5-18-15,ANOATH南烏山1F,,False
三代目鳥メロ 学芸大学西口店,050-5492-3960,,東京都,目黒区鷹番,3-7-9,リューワビル2F,,False
荒木町 花びし,050-5487-3542,,東京都,新宿区舟町,3-4,第二トリイビル1F,,False
海鮮魚力 立川南口店,050-5492-1722,,東京都,立川市柴崎町,3-6-6,TSJビル2F,,False
個室居酒屋×焼き鳥 てん成城学園前店,050-5485-9806,,東京都,世田谷区成城,6-4-13,村田永楽園ビル3F,,False
海鮮居酒屋 はなの舞 清瀬南口店,050-5484-6458,,東京都,清瀬市松山,1-11-12,清瀬駅前ビル2F,,False
はなみずき,050-5484-5222,,東京都,台東区上野,3-5-10,コルソーエテルノ,,False
ワイン個室 晩酌邸 新宿店,050-5485-2948,,東京都,新宿区新宿,3-7-9,新宿土地建物第6ビル4F,,False
全席個室 じぶんどき 丸の内センタービル店,050-5492-6478,,東京都,千代田区丸の内,1-6-1,丸の内センタービルディングB1,,False
やきとん 一粋家 西葛西店,03-6685-6300,,東京都,江戸川区西葛西,6-7-1,メトロセンター西葛西,,False
